local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879887125454843,98.63481228668942,289,293
76,11,11,1,0.0015863098669797182,97.43589743589743,76,78
63,11,11,1,0.0022040021140128374,96.28796400449944,856,889
11,11,11,1,0.0015245911199599504,97.05426356589147,626,645
75,11,11,1,0.0012117529986426234,97.08454810495627,666,686
43,11,11,1,0.0014317766763269901,96.81372549019608,395,408
46,11,11,1,0.002696537645533681,97.1830985915493,690,710
37,11,11,1,0.0015160688199102879,97.55813953488372,839,860
21,11,11,1,0.0011919386452063918,97.75641025641025,305,312
35,11,11,1,0.0006395824602805078,98.79759519038076,493,499
41,111,12,1,0.02309713140130043,60.561056105610554,367,606
41,112,12,2,0.01706506684422493,56.600660066006604,343,606
41,113,12,3,0.014525894075632095,62.211221122112214,377,606
41,114,12,4,0.012947523966431618,63.366336633663366,384,606
41,115,12,5,0.01202128455042839,66.66666666666666,404,606
41,116,12,6,0.011804494075477123,66.33663366336634,402,606
41,117,12,7,0.011069976724684238,68.48184818481849,415,606
41,118,12,8,0.01131246704608202,64.85148514851485,393,606
41,119,12,9,0.010968313552439213,69.63696369636963,422,606
41,120,12,10,0.010696198791265488,67.98679867986799,412,606
11,12,12,1,0.001389348297379911,97.67441860465115,630,645
61,12,12,1,0.0015256906626746058,97.13876967095851,679,699
64,12,12,1,0.0016545206308364868,97.04797047970479,789,813
28,12,12,1,0.0014623139286413789,97.0059880239521,486,501
67,12,12,1,0.0013367092469707131,97.29458917835672,971,998
22,12,12,1,0.0013660271652042866,97.77015437392797,570,583
82,12,12,1,0.002558377105742693,97.47545582047685,695,713
60,12,12,1,0.0019628924783319235,96.7455621301775,327,338
42,12,12,1,0.000994685455225408,97.88135593220339,231,236
85,13,13,1,0.0006268158322200179,98.60788863109049,425,431
56,13,13,1,0.001212811446748674,98.06818181818183,863,880
57,13,13,1,0.0023390233982354403,95.04373177842565,326,343
63,13,13,1,0.002133529167622328,95.95050618672666,853,889
77,13,13,1,0.0018611480481922626,96.60441426146011,569,589
18,13,13,1,0.0030168616212904453,96.94989106753813,445,459
43,13,13,1,0.0007895573507994413,98.0392156862745,400,408
91,13,13,1,0.0007452198187820613,98.4375,252,256
42,13,13,1,0.0010741144651547074,98.30508474576271,232,236
52,13,13,1,0.0012275621993467212,97.62845849802372,247,253
73,131,14,1,0.02542472630739212,57.69881556683587,341,591
73,132,14,2,0.02120945230126381,41.455160744500844,245,591
73,133,14,3,0.01645878329873085,53.97631133671743,319,591
73,134,14,4,0.015491214580833912,57.1912013536379,338,591
73,135,14,5,0.015071677975356579,56.34517766497462,333,591
73,136,14,6,0.014076389372348785,60.236886632825716,356,591
73,137,14,7,0.013936973176896572,58.37563451776649,345,591
73,138,14,8,0.013724122196435928,58.88324873096447,348,591
73,139,14,9,0.013444139622151852,59.56006768189509,352,591
73,140,14,10,0.013070380315184593,60.236886632825716,356,591
28,14,14,1,0.0015479658031836152,97.2055888223553,487,501
37,14,14,1,0.0013253294164314866,98.0232558139535,843,860
96,14,14,1,0.001350558828562498,97.61904761904762,656,672
99,14,14,1,0.0008717915043234825,98.93899204244032,373,377
80,14,14,1,0.0009551418479532003,98.37587006960557,424,431
13,14,14,1,0.0012917619897052646,97.00272479564033,712,734
98,14,14,1,0.0015140408650040627,96.9437652811736,793,818
78,14,14,1,0.0012234420282766223,97.02970297029702,294,303
46,14,14,1,0.002119970740750432,96.61971830985917,686,710
45,15,15,1,0.0014870050363242626,97.13375796178345,610,628
62,15,15,1,0.0008584907627664506,98.3451536643026,416,423
50,15,15,1,0.002186689293012023,94.9367088607595,450,474
67,15,15,1,0.0014817247865721583,96.69338677354709,965,998
14,15,15,1,0.001510686706751585,97.3404255319149,366,376
36,15,15,1,0.0014719690661877394,97.51243781094527,980,1005
24,15,15,1,0.0019816372077912092,95.77836411609498,363,379
7,15,15,1,0.0011013707844540477,97.84688995215312,409,418
4,15,15,1,0.001503024366684258,96.80851063829788,637,658
80,15,15,1,0.0007831929251551628,98.83990719257541,426,431
51,151,16,1,0.02258947119116783,57.570422535211264,327,568
51,152,16,2,0.012348261661827564,60.56338028169014,344,568
51,153,16,3,0.010445933789014816,66.02112676056338,375,568
51,154,16,4,0.010409181006252766,67.0774647887324,381,568
51,155,16,5,0.009908167645335197,68.66197183098592,390,568
51,156,16,6,0.010019314475357533,67.0774647887324,381,568
51,157,16,7,0.009855980984866619,67.6056338028169,384,568
51,158,16,8,0.00949923601001501,70.07042253521126,398,568
51,159,16,9,0.009337997995316982,70.77464788732394,402,568
51,160,16,10,0.0092946020886302,69.8943661971831,397,568
39,16,16,1,0.0012221861397847533,98.0544747081712,252,257
26,16,16,1,0.0014012284809723496,97.47292418772562,540,554
29,16,16,1,0.0012188267428427935,97.70459081836327,979,1002
4,16,16,1,0.0015495497500523925,97.11246200607903,639,658
42,16,16,1,0.0009250288130715489,98.72881355932203,233,236
69,16,16,1,0.0016360521549358964,97.65625,250,256
95,16,16,1,0.000713986111804843,98.33887043189368,592,602
80,16,16,1,0.0009691703598946333,98.83990719257541,426,431
8,16,16,1,0.0015728753060102463,97.31437598736177,616,633
25,17,17,1,0.001419265172444284,97.21792890262752,629,647
68,17,17,1,0.0010495817987248302,98.582995951417,487,494
70,17,17,1,0.0021323328837752342,96.27071823204419,697,724
61,17,17,1,0.001619223621673882,96.99570815450643,678,699
64,17,17,1,0.001690075034275651,97.04797047970479,789,813
31,17,17,1,0.0010547339916229248,97.72455089820359,816,835
10,17,17,1,0.001517106662504375,96.97309417040358,865,892
23,17,17,1,0.0010363477049395442,98.29351535836177,288,293
7,17,17,1,0.0011677861912176013,97.84688995215312,409,418
74,17,17,1,0.0017408758867532015,96.94793536804309,540,557
74,171,18,1,0.024064822122454643,54.937163375224415,306,557
74,172,18,2,0.013247733004391193,63.55475763016158,354,557
74,173,18,3,0.0071155959740281105,85.27827648114902,475,557
74,174,18,4,0.005807736422866583,89.22800718132855,497,557
74,175,18,5,0.004509492311626673,92.10053859964094,513,557
74,176,18,6,0.00423771608620882,91.20287253141831,508,557
74,177,18,7,0.0030312815215438604,95.51166965888689,532,557
74,178,18,8,0.002953053917735815,94.43447037701975,526,557
74,179,18,9,0.002690195105969906,95.33213644524237,531,557
74,180,18,10,0.0026635387912392616,94.97307001795332,529,557
46,18,18,1,0.002007437637075782,97.60563380281691,693,710
65,18,18,1,0.0010165811982005835,97.84366576819407,363,371
57,18,18,1,0.0022307299077510834,95.33527696793003,327,343
83,18,18,1,0.001277148025110364,97.45958429561202,422,433
9,18,18,1,0.0010159987723454833,98.39449541284404,429,436
64,18,18,1,0.0018571431282907724,96.6789667896679,786,813
58,18,18,1,0.0019516275497153401,96.73913043478261,267,276
41,18,18,1,0.0016072484431788325,97.35973597359737,590,606
12,18,18,1,0.00165582075715065,96.55172413793103,1120,1160
83,19,19,1,0.001484294538386166,97.45958429561202,422,433
96,19,19,1,0.0013233189238235354,97.61904761904762,656,672
90,19,19,1,0.001878830953501165,97.07174231332357,663,683
28,19,19,1,0.0013785631163045764,97.0059880239521,486,501
65,19,19,1,0.0008867667056620121,97.57412398921834,362,371
33,19,19,1,0.001620874973013997,96.95024077046548,604,623
75,19,19,1,0.001326811034232378,97.23032069970844,667,686
13,19,19,1,0.001173042575828731,97.82016348773843,718,734
32,19,19,1,0.00246435753069818,95.70112589559876,935,977
80,19,19,1,0.0007220652769319713,98.60788863109049,425,431
